Typ;Grundform/Lemma;Wortstamm;Bedarfsbereiche/Warenbedarf;Untergruppe;Bedeutung;Literatur;Bibliographie
spezialisierter Händlerbegriff;mancipator;mancipator;Arbeits- und Betriebsmittelbedarf;Sklaven;Sklavenhändler;Wissemann 1984;
spezialisierter Händlerbegriff;mancipiarius;mancipiari;Arbeits- und Betriebsmittelbedarf;Sklaven;Sklavenhändler;Wissemann 1984;
spezialisierter Händlerbegriff;mango;mangon;Arbeits- und Betriebsmittelbedarf;Sklaven;Sklavenhändler, handelt mit Ware Arbeitskraft / Sklavenhändler;Wissemann 1984;
spezialisierter Händlerbegriff;manicarius;manicari;Kleidungs- und Schutzbedarf;Armbandagen;Händler und /oder Hersteller mit Armbandagen für Gladiatoren;Wissemann 1984;
spezialisierter Händlerbegriff;manticularius;manticulari;Kleidungs- und Schutzbedarf;Mäntel;Mantelhändler, Händler für Beutel, Mantelsäcke, Rucksäcke / Händler und/ oder Herstller mit Schultertaschen;;
spezialisierter Händlerbegriff;manulearius;manuleari;Kleidungs- und Schutzbedarf;Gewänder;Händler und/ oder Hersteller mit langärmeligen Gewändern;Wissemann 1984;
spezialisierter Händlerbegriff;margaritarius;margaritari;Schmuck- und Zierbedarf;Perlen;Perlenhändler;Wissemann 1984;
spezialisierter Händlerbegriff;materarius;materari;Wohn- und Ausstattungsbedarf;Baumaterial;Bauholzhändler;Wissemann 1984;
spezialisierter Händlerbegriff;materiarius;materiari;Wohn- und Ausstattungsbedarf;Baumaterial;Holz-, Baustoffhändler (Steine, Ziegel, sonstige Baustoffe);Schlippschuh 1974;
spezialisierter Händlerbegriff;mellarius;mellari;Lebensmittelbedarf;Honie;Honighändler;Wissemann 1984;
spezialisierter Händlerbegriff;merarius;merari;Lebensmittelbedarf;Wein;Weinhändler;Wissemann 1984;
spezialisierter Händlerbegriff;metaxarius;metaxari;Arbeits- und Betriebsmittelbedarf;Seide;Seidenhändler;Wissemann 1984;
spezialisierter Händlerbegriff;molochinarius;molochinari;Kleidungs- und Schutzbedarf;Kleidung;Händler und/ oder Hersteller mit Kleidern aus Malvenfasern;Wissemann 1984;
spezialisierter Händlerbegriff;monopolarius;monopolari;Schmuck- und Zierbedarf;Salben;Salbenhändler;Wissemann 1984;
spezialisierter Händlerbegriff;muriarius;muriari;Lebensmittelbedarf;Fischsauce, Salz;Händler von Gewürzsaucen/Fischsauce und Salzlaken. Handelten sicher auch mit liquamen und garum.;Schlippschuh 1974;
spezialisierter Händlerbegriff;myrobrecharius;myrobrechari;Schmuck- und Zierbedarf;Salben;Salbenhändler;Wissemann 1984;
spezialisierter Händlerbegriff;myropolarius;myropolari;Schmuck- und Zierbedarf;Salben;Salbenhändler;Wissemann 1984;
spezialisierter Händlerbegriff;olearius;oleari;Lebensmittelbedarf;Öl;Ölhändler und kein Ölfabrikant / Ölhändler;Schlippschuh 1974 / Wissemann 1984;
spezialisierter Händlerbegriff;oleator;oleator;Lebensmittelbedarf;Gemüse;Gemüsehändler;Wissemann 1984;
spezialisierter Händlerbegriff;paenularius;paenulari;Kleidungs- und Schutzbedarf;Mäntel, Umhänge;Händler von Mänteln, Stoffen für Oberbekleidung / Händler mit Kapuzenmäntel;Schlippschuh 1974 / Wissemann 1984;
spezialisierter Händlerbegriff;panarius;panari;Lebensmittelbedarf;Brot;Brothändler;Wissemann 1984;
spezialisierter Händlerbegriff;pecurarius;pecurari;Lebensmittelbedarf;Vieh;Viehhändler/-besitzer, ohne Negotiator eher Besitzer und weniger Händler.;;
spezialisierter Händlerbegriff;pellarius;pellari;Kleidungs- und Schutzbedarf;Pelz;Pelzhändler und / Oder Kürschner;Wissemann 1984;
spezialisierter Händlerbegriff;pellicarius;pellicari;Kleidungs- und Schutzbedarf;Pelz;Pelzwarenhändler, ohne Händlerbegriff Kürschner;Eigene Recherche;
spezialisierter Händlerbegriff;pellio;pellion;Kleidungs- und Schutzbedarf;Pelz;Fell-, Pelzhändler / Pelzhändler;Schlippschuh 1974 / Wissemann 1984;
spezialisierter Händlerbegriff;pernarius;pernari;Lebensmittelbedarf;Schminke;Schinkenhändler;Wissemann 1984;
spezialisierter Händlerbegriff;perticarius;perticari;Arbeits- und Betriebsmittelbedarf;Stangen;Stangenhändler;Wissemann 1984;
spezialisierter Händlerbegriff;pharmacopola;pharmacopo;Schmuck- und Zierbedarf;Salben;Wundersalbenhändler;Wissemann 1984;
spezialisierter Händlerbegriff;pigmentarius;pigmentari;Schmuck- und Zierbedarf;Salben;Salbenhändler;Wissemann 1984;
spezialisierter Händlerbegriff;piscarius;piscari;Lebensmittelbedarf;Fisch;Fischhändler;Wissemann 1984;
spezialisierter Händlerbegriff;pistorius;pistori;Lebensmittelbedarf;Backwarenhändle;Backwarenhändler, Mehlhändler,-verarbeiter?;Schlippschuh 1974;
spezialisierter Händlerbegriff;pomarius;pomari;Lebensmittelbedarf;Obst;Obsthändler;Wissemann 1984;
spezialisierter Händlerbegriff;pometarius;pometari;Lebensmittelbedarf;Obst;Obsthändler;Wissemann 1984;
spezialisierter Händlerbegriff;porcarius;porcari;Lebensmittelbedarf;Schweine;Schweinehändler, ohne Händlerbegriff - Schweinebesitzer;Schlippschuh 1974;
spezialisierter Händlerbegriff;porcinarius;porcinari;Lebensmittelbedarf;Schweine;Schweinehändler;Wissemann 1984;
spezialisierter Händlerbegriff;poscarius;poscari;Lebensmittelbedarf;Limonaden;Limonadenhändler;Wissemann 1984;
spezialisierter Händlerbegriff;psathyropola;psathyropo;Lebensmittelbedarf;Kuchen;Kuchenverkäufer;Wissemann 1984;
spezialisierter Händlerbegriff;pugillariarius;pugillariari;Bildungs- und Unterhaltungsbedarf;Schreibtafeln;Händler und/ oder Hersteller mit Schreibtäfelchen;Wissemann 1984;
spezialisierter Händlerbegriff;purpurarius;purpurari;Kleidungs- und Schutzbedarf;Purpur;Purpurhändler;Schlippschuh 1974 / Wissemann 1984;
spezialisierter Händlerbegriff;ratiarius;ratiari;Wohn- und Ausstattungsbedarf;Holz;Flößer, Transporthändler von geflößtem Holz;Schlippschuh 1974;
spezialisierter Händlerbegriff;recentarius;recentari;Lebensmittelbedarf;Wein;Händler mit gekühltem Wein;Wissemann 1984;
spezialisierter Händlerbegriff;restarius;restari;Arbeits- und Betriebsmittelbedarf;Seilen;Hersteller u. Händler von Seilen;Schlippschuh 1974;
spezialisierter Händlerbegriff;saccarius;saccar;Arbeits- und Betriebsmittelbedarf;Säcke;Sackhersteller, -träger/-händler Transportgefäßhersteller;Schlippschuh 1974;
spezialisierter Händlerbegriff;sagarius;sagari;Kleidungs- und Schutzbedarf;Mäntel, Umhänge;Händler von Kurzmänteln, Soldatenmänteln, Umhängen / Mantelhändler;Schlippschuh 1974 / Wissemann 1984;
spezialisierter Händlerbegriff;salarius;salari;Lebensmittelbedarf;Salzfisch;Salzfischhändler;Wissemann 1984;
