Typ;Grundform/Lemma;Wortstamm;Bedarfsbereiche/Warenbedarf;Untergruppe;Bedeutung;Literatur;Bibliographie
spezialisierter Händlerbegriff;viminarius;viminari;Arbeits- und Betriebsmittelbedarf;Flechtwaren;Flechtwarenhändler, Hersteller u. Händler von Gegenständen aus Weidengeflecht;Schlippschuh 1974 / Wissemann 1984;
spezialisierter Händlerbegriff;vinariarius;vinariari;Lebensmittelbedarf;Wein;Weinhändler;Wissemann 1984;
spezialisierter Händlerbegriff;vinarius;vinari;Lebensmittelbedarf;Wein;Weinhändler, Winzer / Weinhändler (,Trinker) / Weinhändler;Schlippschuh 1974 / Wissemann 1984;
spezialisierter Händlerbegriff;vitor;vitor;Arbeits- und Betriebsmittelbedarf;Körbe;Händler und/ oder Hersteller mit Körben;Wissemann 1984;
spezialisierter Händlerbegriff;vitrearius;vitreari;Wohn- und Ausstattungsbedarf;Glas;Glashändler;Wissemann 1984;
spezialisierter Händlerbegriff;vulgenarius;vulgenari;Schmuck- unnd Zierbedarf;Salben;Salbenhändler;Wissemann 1984;
Transporteur;codicarius;codicari;Transport und Logistik;Schiffstransport;Flusskahnschiffer, Schiffer eines aus Baumstamm geferitgten Kahns;Schlippschuh 1974;
Transporteur;mulio;mulio;Transport und Logistik;Landtransport;Maultierbesitzer/-treiber, Zugtier für Landtransport;Schlippschuh 1974;
Transporteur;nauta;nauta;Transport und Logistik;Schifftransport;Seemann, Schiffer, Reeder, Kaufmann;Schlippschuh 1974;
Transporteur;navicularius;navicularius;Transport und Logistik;Schifftransport;Schiffseigner, Fraschschiffer, Reeder, Schiffs-;Schlippschuh 1974;
Transporteur;navita;navita;Transport und Logistik;Schifftransport;Seemann, Schiffer, Reeder, Kaufmann;Schlippschuh 1974;
Transporteur;utricularius;utriculari;Transport und Logistik;Transport;Schlauchvertiger/hersteller, darin Transport von Flüssigkeiten, wie Wein;Schlippschuh 1974;
